
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	won

1	1	0.441486	332.514800	332.508900	777.016900	777.012800	3	2	2.109761	1781.508300	1781.501300	3897.008900	3897.005800	CCNP001339	1
2	1	0.415499	6404.746200	6404.740900	6833.031400	6833.028100	2	2	2.402252	7834.705200	7834.698400	10240.830800	10240.827600	CCNP001339	0
3	1	0.202052	12745.595700	12745.590300	12952.795800	12952.792600	2	1	1.139361	13954.256500	13954.234700	15096.922600	15096.919500	CCNP001339	0
4	2	0.255209	17603.914900	17603.908300	17872.697100	17872.693600	3	2	0.834449	18874.162000	18874.154100	19712.639900	19712.636400	CCNP001339	0
5	2	0.166600	22219.104800	22219.099400	22402.312800	22402.308500	3	1	0.359868	23405.522600	23405.517100	23768.945300	23768.941700	CCNP001339	1
6	2	0.636388	26276.102800	26276.097100	26920.835500	26920.832400	2	1	0.923733	27922.109700	27922.103800	28849.386500	28849.383100	CCNP001339	1
7	2	0.280867	31354.115900	31354.110100	31648.719500	31648.715700	3	1	0.364140	32649.644800	32649.639700	33017.247300	33017.243400	CCNP001339	1
8	2	0.274845	35521.262400	35521.257200	35809.141200	35809.137800	3	1	0.451385	36810.403100	36810.398100	37265.192200	37265.189000	CCNP001339	1
9	2	0.232120	39770.001700	39769.996400	40017.090200	40017.085300	3	1	0.371316	41018.158600	41018.153600	41393.081200	41393.077900	CCNP001339	1
10	2	0.204280	43896.918600	43896.913100	44105.176600	44105.173200	3	1	0.435333	45106.076500	45106.071800	45545.013300	45545.009800	CCNP001339	1
11	2	0.275631	48048.883900	48048.878000	48329.288700	48329.285400	2	1	1.003756	49330.230300	49330.225400	50337.557400	50337.554000	CCNP001339	0
12	2	0.358281	52841.222000	52841.204500	53209.126200	53209.122900	3	1	0.483552	54210.101000	54210.096400	54697.019100	54697.015600	CCNP001339	1
13	2	0.423481	57201.825700	57201.820000	57640.836100	57640.832800	3	1	0.371169	58641.745400	58641.741100	59016.809500	59016.790900	CCNP001339	1
14	2	0.211165	61520.395400	61520.386300	61745.283500	61745.280000	2	2	1.442904	62746.601200	62746.596000	64192.930900	64192.927700	CCNP001339	1
15	2	0.652351	66696.574400	66696.568900	67353.140600	67353.137200	2	2	0.715156	68354.234000	68354.228900	69072.750100	69072.747000	CCNP001339	1
16	2	0.320280	71576.641800	71576.636200	71904.704600	71904.701000	2	2	0.667875	72905.665700	72905.660600	73577.007600	73577.004500	CCNP001339	1
17	2	0.187034	76080.745900	76080.738700	76272.709800	76272.706200	3	1	0.628164	77273.665200	77273.647400	77905.099200	77905.095900	CCNP001339	0
18	2	0.407516	80408.970800	80408.964500	80825.055000	80825.051600	3	1	0.427505	81826.038700	81826.033200	82257.190600	82257.187200	CCNP001339	1
19	2	0.202107	84760.893000	84760.887200	84969.550000	84969.546600	2	2	1.178784	85970.539500	85970.534700	87152.751800	87152.748700	CCNP001339	0
20	2	0.069713	89656.507500	89656.500600	89737.344200	89737.340800	3	1	0.379146	90738.284500	90738.266400	91120.851500	91120.848400	CCNP001339	1
21	2	0.142980	93624.610800	93624.595100	93776.988500	93776.985300	3	1	0.298726	94777.973100	94777.968400	95080.742900	95080.739000	CCNP001339	1
22	2	0.280492	97584.976400	97584.967600	97881.290300	97881.286900	3	1	0.419515	98882.298300	98882.280400	99305.382600	99305.379200	CCNP001339	1
23	2	0.231446	101809.165500	101809.159600	102048.943200	102048.940000	2	1	0.298996	103050.019600	103050.005000	103352.700100	103352.696600	CCNP001339	1
24	2	0.332664	105856.412100	105856.405900	106200.808500	106200.804200	3	1	0.539743	107201.770800	107201.765200	107744.995700	107744.992600	CCNP001339	0
25	2	0.171161	110248.909000	110248.902400	110425.028400	110425.025100	3	1	0.507437	111426.047800	111426.043000	111936.854300	111936.850800	CCNP001339	1
26	2	0.238848	114440.811100	114440.804300	114689.577300	114689.574000	3	1	0.435479	115690.587300	115690.581800	116129.284300	116129.281000	CCNP001339	1
27	2	0.195675	118633.632800	118633.625800	118832.841900	118832.838500	3	1	0.411179	119834.072600	119834.067800	120248.953300	120248.950200	CCNP001339	1
28	2	0.248682	122753.319600	122753.314300	123017.349600	123017.345400	3	1	0.354293	124018.344000	124018.326300	124376.842200	124376.838300	CCNP001339	1
29	2	0.147105	126880.745000	126880.738900	127033.245300	127033.240700	2	1	0.330957	128034.448200	128034.442200	128368.921400	128368.918300	CCNP001339	0
30	2	0.444317	130872.696500	130872.690300	131328.755900	131328.752900	2	2	0.890909	132329.916800	132329.911500	133224.741500	133224.737800	CCNP001339	1
31	2	0.257860	135728.667600	135728.662100	135992.699800	135992.696200	3	1	0.659469	136993.811400	136993.802600	137656.693600	137656.690400	CCNP001339	1
32	2	0.241823	140160.567800	140160.562600	140409.352200	140409.348700	2	1	0.435250	141410.528000	141410.522800	141849.247900	141849.244600	CCNP001339	0
33	2	0.401922	144353.576700	144353.571200	144769.424700	144769.421200	3	1	0.962842	145770.565100	145770.559500	146736.846500	146736.842800	CCNP001339	1
34	2	0.165902	149240.647900	149240.641900	149417.138700	149417.134500	2	2	0.666091	150418.270600	150418.264900	151088.817600	151088.813200	CCNP001339	1
35	2	0.112280	153592.546200	153592.539500	153713.428200	153713.424800	3	1	1.058885	154714.557400	154714.552900	155777.093900	155777.090800	CCNP001339	1
36	2	0.290747	158281.351600	158281.336900	158576.531400	158576.527500	3	1	0.787019	159577.666800	159577.661000	160368.947500	160368.943200	CCNP001339	1
37	2	0.205181	162872.807300	162872.801200	163089.439000	163089.435600	3	1	0.755006	164090.553900	164090.545800	164849.042500	164849.039100	CCNP001339	1
38	2	0.177206	167353.641400	167353.636400	167545.126300	167545.122700	3	1	0.427045	168546.266500	168546.261300	168976.747700	168976.744400	CCNP001339	0
39	2	0.436487	171480.435200	171480.429800	171920.869400	171920.866300	3	1	0.531346	172921.989300	172921.984100	173456.717700	173456.714500	CCNP001339	1
40	2	0.129333	175960.341200	175960.335900	176097.291900	176097.288400	3	1	0.650867	177098.404600	177098.399400	177752.961800	177752.958500	CCNP001339	1
41	2	0.492925	180256.599500	180256.594000	180760.835500	180760.832300	2	2	0.962903	181762.055500	181762.050100	182728.753500	182728.749700	CCNP001339	1
42	2	0.371743	185232.233400	185232.222900	185609.031100	185609.027900	3	1	0.619469	186610.136900	186610.131500	187232.792600	187232.789300	CCNP001339	1
43	2	0.417828	189736.793400	189736.787200	190168.974100	190168.970900	3	1	0.803555	191170.077800	191170.073000	191976.990000	191976.986400	CCNP001339	1
44	2	0.412202	194480.614300	194480.608900	194897.016000	194897.012700	3	1	0.643095	195898.256600	195898.251200	196544.887400	196544.884300	CCNP001339	1
45	2	0.427457	199048.497300	199048.492200	199481.488600	199481.485500	3	1	0.698036	200482.597000	200482.591500	201184.662600	201184.659200	CCNP001339	1
46	2	0.380245	203688.454900	203688.449100	204081.235800	204081.232300	3	1	0.714360	205082.471500	205082.466400	205800.815100	205800.811700	CCNP001339	0
47	2	0.451620	208306.981100	208306.975400	208769.206800	208769.203400	3	1	0.514673	209770.303600	209770.297800	210288.652000	210288.648200	CCNP001339	0
48	2	0.248254	212792.383400	212792.378000	213049.365000	213049.357300	3	1	0.427122	214050.501400	214050.494700	214481.072500	214481.069300	CCNP001339	0
49	2	0.232032	216985.115200	216985.109700	217233.288900	217233.285600	3	2	0.467321	218234.620000	218234.614600	218705.381000	218705.377700	CCNP001339	1
50	2	0.415138	221209.522000	221209.516000	221632.718400	221632.715200	2	2	0.771664	222633.869800	222633.863800	223409.023600	223409.020300	CCNP001339	1
51	1	1.123105	225913.117100	225913.104800	227040.825400	227040.822300	2	2	0.475647	228042.024900	228042.019400	228520.996600	228520.993500	CCNP001339	0
52	1	0.229660	231024.710000	231024.704600	231264.761000	231264.757200	2	2	0.490729	232266.002900	232265.997700	232760.670200	232760.666400	CCNP001339	1
53	1	0.188879	235264.313400	235264.308400	235457.221300	235457.217900	2	2	0.466899	236458.420200	236458.414300	236928.900200	236928.897000	CCNP001339	1
54	1	0.355518	239432.852900	239432.847000	239792.836600	239792.833200	2	2	0.459754	240794.056500	240794.050800	241257.096200	241257.092800	CCNP001339	1
55	1	0.265120	243760.770000	243760.764200	244032.909100	244032.905900	3	2	0.484124	245034.256200	245034.248700	245522.039000	245522.035900	CCNP001339	0
56	1	0.414220	248025.870100	248025.864800	248448.791200	248448.788000	2	2	0.715532	249450.086300	249450.080500	250168.935000	250168.927800	CCNP001339	0
57	1	0.283728	252672.552600	252672.547500	252969.086900	252969.082700	3	1	0.851224	253970.286300	253970.281200	254824.933600	254824.930300	CCNP001339	0
58	1	0.739037	257328.491300	257328.486300	258073.282500	258073.279100	3	2	1.418780	259074.566900	259074.547600	260497.035700	260497.032500	CCNP001339	1
59	1	0.631482	263001.002600	263000.996700	263649.273300	263649.270000	2	2	0.547265	264650.664700	264650.658200	265201.295000	265201.291400	CCNP001339	0
60	1	0.323408	267705.136400	267705.131100	268041.152400	268041.149300	2	2	0.699167	269042.384300	269042.378400	269744.894900	269744.891700	CCNP001339	1
61	1	0.730582	272248.736600	272248.731500	272984.782600	272984.779000	2	2	0.739676	273986.014700	273986.008800	274728.980600	274728.977500	CCNP001339	1
62	1	0.307401	277232.899000	277232.893600	277544.764000	277544.760800	2	2	0.515462	278546.036800	278546.031000	279064.908400	279064.905300	CCNP001339	0
63	1	0.320453	281568.632400	281568.626900	281904.926500	281904.923100	3	2	0.371307	282906.208300	282906.202800	283280.914600	283280.911400	CCNP001339	0
64	2	0.559800	285784.864600	285784.859000	286361.065500	286361.062400	3	1	0.403098	287362.380000	287362.371900	287768.837200	287768.834000	CCNP001339	1
65	2	0.348650	290272.358400	290272.352900	290633.347900	290633.344400	3	1	0.394561	291634.525700	291634.518900	292032.847100	292032.843900	CCNP001339	0
66	2	0.210149	294537.110900	294537.105700	294761.265100	294761.261600	3	1	0.363203	295762.186100	295762.181000	296128.851900	296128.848700	CCNP001339	1
67	2	1.252760	299856.811900	299856.805600	301112.792700	301112.789100	3	1	0.531195	302113.793700	302113.788800	302648.808300	302648.792100	CCNP001339	0
68	2	0.321246	305152.207700	305152.202500	305489.271400	305489.268200	3	2	0.515428	306490.162600	306490.157700	307008.943200	307008.940000	CCNP001339	0
69	1	0.259386	309512.450700	309512.444800	309777.060300	309777.057100	3	1	0.884717	310778.042000	310778.036500	311666.270600	311666.267100	CCNP001339	1
70	1	0.471598	314170.281900	314170.276700	314656.760600	314656.756600	3	1	0.923902	315657.689100	315657.684200	316584.921700	316584.918500	CCNP001339	1
