
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	won

1	2	1.189376	314.233300	314.219500	1506.952000	1506.948100	3	2	0.662981	2513.248400	2513.241000	3179.581400	3179.578300	CCNP001684	0
2	2	0.497043	5686.457700	5686.452200	6195.217200	6195.214100	3	1	0.450618	7196.855500	7196.840900	7651.598700	7651.595200	CCNP001684	1
3	2	0.358633	10156.439500	10156.433300	10523.276500	10523.273400	3	1	0.259269	11524.847800	11524.842700	11787.548300	11787.545000	CCNP001684	1
4	2	0.232729	14293.919100	14293.914200	14531.190500	14531.186300	3	1	0.219211	15532.830600	15532.824900	15755.799800	15755.796300	CCNP001684	0
5	1	0.362171	18262.008400	18262.002800	18626.927500	18626.923000	2	2	0.367274	19631.523200	19631.513400	20003.064100	20003.060600	CCNP001684	0
6	1	0.360781	22510.838200	22510.833100	22875.686100	22875.682700	2	1	0.251536	23876.704100	23876.699100	24131.458400	24131.455000	CCNP001684	1
7	1	0.347525	26634.872200	26634.866900	26995.512400	26995.509300	2	1	0.219431	27996.699500	27996.694200	28219.550500	28219.547100	CCNP001684	1
8	1	0.223938	30722.827300	30722.816600	30955.458800	30955.455400	3	1	0.258372	31957.079500	31957.072200	32219.137000	32219.133600	CCNP001684	1
9	1	0.216181	34722.778600	34722.773600	34947.721900	34947.717900	3	1	0.267295	35948.967200	35948.960900	36219.288900	36219.285700	CCNP001684	1
10	1	0.336012	38723.125000	38723.120100	39067.324100	39067.321000	2	1	0.300688	40068.387900	40068.381900	40372.514100	40372.510900	CCNP001684	0
11	2	0.346058	42876.739500	42876.731500	43227.532300	43227.529000	3	1	0.283299	44228.606000	44228.600600	44515.403100	44515.399800	CCNP001684	1
12	2	0.284368	47019.049400	47019.030600	47315.686200	47315.682900	3	1	0.211237	48316.798700	48316.780400	48531.541800	48531.538300	CCNP001684	0
13	2	0.219234	51035.117500	51035.112200	51267.485200	51267.481900	2	1	0.211487	52268.904900	52268.899500	52483.622400	52483.618900	CCNP001684	1
14	2	0.341720	54987.095000	54987.089900	55339.789400	55339.786100	2	1	0.242178	56341.103600	56341.096200	56587.112000	56587.108400	CCNP001684	1
15	1	0.217478	59090.600700	59090.595600	59315.880100	59315.876800	2	1	0.267289	60316.897600	60316.892900	60587.672200	60587.668900	CCNP001684	1
