
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	won

1	1	1.602657	322.266100	322.260400	1935.994900	1935.990400	2	2	1.042585	2937.664400	2937.658700	3983.660900	3983.657800	CCNP001689	0
2	1	0.429200	6488.306800	6488.301200	6928.218100	6928.214800	2	1	0.682615	7929.837900	7929.831500	8615.778000	8615.774700	CCNP001689	1
3	1	0.586373	11120.315100	11120.305500	11719.567300	11719.563100	3	1	0.507377	12721.033500	12721.027200	13231.876300	13231.872800	CCNP001689	1
4	1	0.473886	15737.797800	15737.792500	16223.834100	16223.829900	2	1	0.610978	17225.204500	17225.198900	17839.625600	17839.622300	CCNP001689	1
5	1	0.306562	20344.851000	20344.845400	20655.771400	20655.767900	2	1	0.497761	21658.479700	21658.473600	22159.640000	22159.636700	CCNP001689	1
6	1	0.492363	24666.480000	24666.473700	25175.909900	25175.905800	2	1	0.578900	26177.088900	26177.070600	26759.396400	26759.392900	CCNP001689	1
7	1	0.452837	29262.855900	29262.849100	29719.626500	29719.623400	2	1	0.643669	30720.795400	30720.789600	31367.868700	31367.865500	CCNP001689	1
8	1	0.445296	33871.106700	33871.101800	34327.744500	34327.741300	3	1	0.435062	35329.069100	35329.063100	35767.638000	35767.634800	CCNP001689	1
9	1	0.348808	38271.394000	38271.388600	38631.697500	38631.691200	3	1	0.579651	39632.652500	39632.647000	40215.983500	40215.979800	CCNP001689	0
10	1	0.451075	42719.417300	42719.412200	43183.606900	43183.603800	2	1	0.539868	44184.568100	44184.562300	44727.797600	44727.794500	CCNP001689	1
11	1	0.493199	47231.170800	47231.164900	47728.487800	47728.484500	3	1	0.642780	48729.288600	48729.283500	49375.536900	49375.533300	CCNP001689	0
12	2	0.547716	51878.948400	51878.941900	52431.585600	52431.581800	3	2	0.411742	53432.916400	53432.905400	53848.244900	53848.241300	CCNP001689	0
13	1	0.482111	56351.681200	56351.675500	56847.864300	56847.861100	2	1	0.315530	57848.975000	57848.969800	58168.381400	58168.377800	CCNP001689	0
14	1	0.357292	60671.846600	60671.840600	61039.745100	61039.741600	2	1	0.306578	62040.722500	62040.717900	62351.332600	62351.328200	CCNP001689	1
15	1	0.365726	64854.487500	64854.481900	65231.867400	65231.862500	3	1	0.483538	66232.883700	66232.878800	66719.829800	66719.826400	CCNP001689	0
16	1	0.318332	69223.209600	69223.201000	69551.748100	69551.743800	2	2	0.339700	70552.755100	70552.750200	70895.941300	70895.937600	CCNP001689	0
17	2	0.352228	73399.794200	73399.788000	73768.205100	73768.201900	2	1	0.435798	74769.191400	74769.186900	75208.223400	75208.220200	CCNP001689	1
18	2	0.443576	77711.769700	77711.763700	78159.621500	78159.617600	3	1	0.282544	79160.645600	79160.639800	79447.947600	79447.943400	CCNP001689	0
19	2	0.346410	81952.168900	81952.163000	82312.317000	82312.313700	3	1	0.490005	83313.315200	83313.308400	83807.728200	83807.723700	CCNP001689	1
20	2	0.388207	86311.303600	86311.296800	86704.079600	86704.076100	2	2	0.242371	87705.109200	87705.103800	87951.604300	87951.600500	CCNP001689	0
21	1	0.406087	90455.033100	90455.027200	90872.364000	90872.359800	2	1	0.378547	91873.281600	91873.276400	92255.948300	92255.943900	CCNP001689	1
22	2	0.434018	94759.797600	94759.792200	95199.787200	95199.783800	3	2	0.611762	96200.736800	96200.731300	96815.829900	96815.826700	CCNP001689	0
23	1	0.379235	99319.413300	99319.406600	99711.819400	99711.816100	2	2	0.459086	100712.734900	100712.730300	101175.528600	101175.525300	CCNP001689	1
24	1	0.644872	103678.971600	103678.963100	104327.871800	104327.868500	2	2	0.746727	105328.882500	105328.877000	106079.356200	106079.352800	CCNP001689	1
25	2	0.464488	108588.519400	108588.514100	109063.813900	109063.810700	3	2	0.579653	110064.901100	110064.881600	110648.361700	110648.358100	CCNP001689	1
26	1	0.521979	113151.980100	113151.973700	113687.833300	113687.830000	2	1	0.299901	114688.961700	114688.956300	114992.211900	114992.208600	CCNP001689	0
27	2	0.290979	117495.841000	117495.836000	117791.840000	117791.835700	3	2	0.707297	118792.876900	118792.869500	119503.875700	119503.872500	CCNP001689	0
28	1	0.584227	122007.810800	122007.803700	122600.050300	122600.046900	2	1	0.874837	123601.100100	123601.094000	124479.737800	124479.734500	CCNP001689	1
29	2	0.552477	126983.310500	126983.303500	127551.754200	127551.750600	3	2	0.475615	128552.807700	128552.802600	129031.968600	129031.952600	CCNP001689	0
30	1	0.362554	131535.655300	131535.650600	131911.714300	131911.711300	2	1	0.523405	132912.712100	132912.706500	133439.875400	133439.872200	CCNP001689	0
31	2	0.538409	135943.381100	135943.376200	136487.679000	136487.675700	3	2	0.547787	137488.765900	137488.760400	138039.962900	138039.959600	CCNP001689	0
32	1	0.259128	140543.462200	140543.457200	140808.327600	140808.324000	3	1	0.595415	141809.434600	141809.429400	142408.227900	142408.224600	CCNP001689	1
33	2	0.524051	144911.984900	144911.978600	145439.944500	145439.941300	2	2	0.739398	146441.060400	146441.055200	147183.976300	147183.973000	CCNP001689	1
34	2	0.420584	149687.517900	149687.513000	150120.210300	150120.206900	3	1	0.371594	151121.343400	151121.338300	151496.388000	151496.384700	CCNP001689	0
35	2	0.287815	154000.060000	154000.054900	154304.198300	154304.195100	3	1	0.491534	155305.307900	155305.302500	155800.252100	155800.248700	CCNP001689	1
36	1	0.347385	158303.725100	158303.720000	158663.583100	158663.580000	3	1	0.324122	159664.716700	159664.711400	159992.251200	159992.247900	CCNP001689	0
37	1	0.372178	162495.611300	162495.606400	162871.816300	162871.813000	2	1	0.315636	163872.884200	163872.878900	164191.926500	164191.923200	CCNP001689	1
38	1	0.380320	166695.524700	166695.517800	167079.829500	167079.826100	2	1	0.322682	168080.904400	168080.899300	168407.487500	168407.483900	CCNP001689	1
39	1	0.451831	170911.003700	170910.998700	171367.802100	171367.798900	2	1	0.299685	172368.977600	172368.972300	172672.289500	172672.286200	CCNP001689	1
40	1	0.353164	175175.788500	175175.783600	175535.915800	175535.912200	3	1	0.275516	176537.060700	176537.055800	176816.036500	176816.033200	CCNP001689	1
