"Characteristic","Value"
"Age (years), M (SD)","39.5 (14.3)"
"Female","2 (16.7%)"
"Male","10 (83.3%)"
"Asian / Pacific Islander","1 (8.3%)"
"Black or African American","7 (58.3%)"
"Hispanic or Latino","1 (8.3%)"
"White","3 (25%)"
"Divorced","1 (8.3%)"
"Married","2 (16.7%)"
"Separated","1 (8.3%)"
"Single Never married","8 (66.7%)"
"Associate's or equivalent","2 (16.7%)"
"Bachelor's or equivalent","4 (33.3%)"
"High School Diploma/GED","3 (25%)"
"Master's or equivalent","2 (16.7%)"
"Other:","1 (8.3%)"
"Employed full-time (more than 35 hours/week)","4 (33.3%)"
"Employed part-time (less than 35 hours/week)","2 (16.7%)"
"Informal/odd jobs","2 (16.7%)"
"Unemployed","4 (33.3%)"
